Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
27-Sep-2019,50240-001,Tina River Hydropower Project,SOL,Solomon Islands,Pacific,PARD,PAEN,Sovereign,222.570,Project loan,Loan,3828,ADB funds,Concessional OCR,18.000,Energy,Energy,Dual-use,Medium,3.600,14.400,Investment,USD,https://www.adb.org/projects/50240-001/main
27-Sep-2019,50240-001,Tina River Hydropower Project,SOL,Solomon Islands,Pacific,PARD,PAEN,Sovereign,,Project loan,Grant,0665,ADB funds,ADF,12.000,Energy,Energy,Dual-use,Medium,2.400,9.600,Investment,USD,https://www.adb.org/projects/50240-001/main
13-Sep-2019,49455-002,Integrated Urban Resilience Sector Project,TON,Tonga,Pacific,PARD,PAUW,Sovereign,21.317,Sector grant,Grant,0651,ADB funds,ADF,18.275,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,5.980,,Investment,USD,https://www.adb.org/projects/49455-002/main
11-Dec-2019,51137-003,Dhaka and Western Zone Transmission Grid Expansion Project,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,750.000,Project loan,Loan,3853,ADB funds,OCR,300.707,Energy,Energy,Dual-use,Medium,70.700,117.200,Investment,USD,https://www.adb.org/projects/51137-003/main
11-Dec-2019,51137-003,Dhaka and Western Zone Transmission Grid Expansion Project,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,,Project loan,Loan,8374,Cofinancing (Syndicated/Contractual),Asian Infrastructure Investment Bank,200.000,Energy,Energy,Dual-use,Medium,47.100,80.000,Investment,USD,https://www.adb.org/projects/51137-003/main
11-Dec-2019,51137-003,Dhaka and Western Zone Transmission Grid Expansion Project,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,,Project loan,Grant,0675,Cofinancing (Syndicated/Contractual),People's Republic of China Poverty Reduction and Regional Cooperation Fund,0.750,Energy,Energy,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51137-003/main
23-May-2019,46452-004,"South Asia Subregional Economic Cooperation Chittagong-Cox's Bazar Railway Project, Phase 1 - Tranche 2",BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,450.000,MFF-Tranche (Loan),Loan,3780,ADB funds,OCR,392.100,Transport,Transport,Dual-use,High,33.329,358.772,Investment,USD,https://www.adb.org/projects/46452-004/main
1-Oct-2019,49329-006,Second City Region Development Project,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,223.000,Sector loan,Loan,3809,ADB funds,OCR,72.982,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,18.500,,Investment,USD,https://www.adb.org/projects/49329-006/main
1-Oct-2019,49329-006,Second City Region Development Project,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Sector loan,Loan,3808,ADB funds,Concessional OCR,75.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,18.500,,Investment,USD,https://www.adb.org/projects/49329-006/main
28-Nov-2019,51308-001,Chennai-Kanyakumari Industrial Corridor: Power Sector Investment Project,IND,India,South Asia,SARD,SAEN,Sovereign,654.150,Project loan,Loan,3850,ADB funds,OCR,451.000,Energy,Energy,Dual-use,Medium,24.500,131.900,Investment,USD,https://www.adb.org/projects/51308-001/main
16-Dec-2019,52196-001,Scaling Up Demand-Side Energy Efficiency Sector Project,IND,India,South Asia,SARD,SAEN,Sovereign,593.900,Project loan,Loan,3867,ADB funds,OCR,250.000,Energy,Energy,Mitigation,Low,,108.300,Investment,USD,https://www.adb.org/projects/52196-001/main
16-Dec-2019,52196-001,Scaling Up Demand-Side Energy Efficiency Sector Project,IND,India,South Asia,SARD,SAEN,Sovereign,,Project loan,Loan,8376,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),46.000,Energy,Energy,Mitigation,Low,,46.000,Investment,USD,https://www.adb.org/projects/52196-001/main
18-Nov-2019,43253-026,Karnataka Integrated and Sustainable Water Resources Management Investment Program - Tranche 2,IND,India,South Asia,SARD,SAER,Sovereign,130.000,MFF-Tranche (Loan),Loan,3836,ADB funds,OCR,91.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,13.800,,Investment,USD,https://www.adb.org/projects/43253-026/main
6-Sep-2019,52328-001,Maharashtra Rural Connectivity Improvement Project,IND,India,South Asia,SARD,SAER,Sovereign,297.000,Project loan,Loan,3805,ADB funds,OCR,200.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,22.117,11.112,Investment,USD,https://www.adb.org/projects/52328-001/main
1-Mar-2019,49469-007,Mumbai Metro Rail Systems Project,IND,India,South Asia,SARD,SATC,Sovereign,"1,675.000",Project loan,Loan,3775,ADB funds,OCR,926.000,Transport,Transport,Mitigation,Low,,926.000,Investment,USD,https://www.adb.org/projects/49469-007/main
11-Oct-2019,49228-003,Rajasthan State Highway Investment Program - Tranche 2,IND,India,South Asia,SARD,SATC,Sovereign,379.240,MFF-Tranche (Loan),Loan,3815,ADB funds,OCR,190.000,Transport,Transport,Adaptation,Medium,14.100,,Investment,USD,https://www.adb.org/projects/49228-003/main
3-Sep-2019,52002-001,Chhattisgarh Road Connectivity Project,IND,India,South Asia,SARD,SATC,Sovereign,521.690,Project loan,Loan,3795,ADB funds,OCR,350.000,Transport,Transport,Adaptation,Medium,30.311,,Investment,USD,https://www.adb.org/projects/52002-001/main
20-Dec-2019,51375-001,Public-Private Partnership in Madhya Pradesh Road Sector Project,IND,India,South Asia,SARD,SATC,Sovereign,904.000,Sector loan,Loan,3849,ADB funds,OCR,490.000,Transport,Transport,Adaptation,Medium,82.200,,Investment,USD,https://www.adb.org/projects/51375-001/main
2-Dec-2019,49107-005,Tamil Nadu Urban Flagship Investment Program- Tranche 2,IND,India,South Asia,SARD,SAUW,Sovereign,593.000,MFF-Tranche (Loan),Loan,3862,ADB funds,OCR,206.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,25.030,71.720,Investment,USD,https://www.adb.org/projects/49107-005/main
10-Dec-2019,43448-014,Bagmati River Basin Improvement Project - Additional Financing,NEP,Nepal,South Asia,SARD,SAER,Sovereign,79.400,Project loan,Loan,3816,ADB funds,Concessional OCR,63.000,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Low,1.955,2.550,Investment,USD,https://www.adb.org/projects/43448-014/main
10-Dec-2019,52097-002,South Asia Subregional Economic Cooperation Mugling-Pokhara Highway Improvement Phase 1 Project,NEP,Nepal,South Asia,SARD,SATC,Sovereign,254.500,Project loan,Loan,3846,ADB funds,Concessional OCR,195.000,Transport,Transport,Adaptation,Medium,17.700,,Investment,USD,https://www.adb.org/projects/52097-002/main
13-Nov-2019,50301-003,Second Integrated Road Investment Program-Tranche 2,SRI,Sri Lanka,South Asia,SARD,SATC,Sovereign,171.800,MFF-Tranche (Loan),Loan,3851,ADB funds,OCR,150.000,Transport,Transport,Adaptation,Medium,7.100,,Investment,USD,https://www.adb.org/projects/50301-003/main
20-Aug-2019,49111-005,Railway Efficiency Improvement Project,SRI,Sri Lanka,South Asia,SARD,SATC,Sovereign,193.000,Project loan,Loan,3806,ADB funds,OCR,160.000,Transport,Transport,Dual-use,Low,0.130,147.700,Investment,USD,https://www.adb.org/projects/49111-005/main
28-Jun-2019,51182-001,National Solar Park Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,27.210,Project loan,Loan,3789,ADB funds,Concessional OCR,7.640,Energy,Energy,Dual-use,High,1.170,6.470,Investment,USD,https://www.adb.org/projects/51182-001/main
28-Jun-2019,51182-001,National Solar Park Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,,Project loan,Loan,8357,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Scaling Up Renewable Energy Program),11.000,Energy,Energy,Dual-use,High,,11.000,Investment,USD,https://www.adb.org/projects/51182-001/main
28-Jun-2019,51182-001,National Solar Park Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,,Project loan,Grant,0645,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Scaling Up Renewable Energy Program),3.000,Energy,Energy,Dual-use,High,,3.000,Investment,USD,https://www.adb.org/projects/51182-001/main
5-Dec-2019,51159-002,Irrigated Agriculture Improvement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,126.450,Project loan,Loan,3877,ADB funds,Concessional OCR,117.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,13.190,,Investment,USD,https://www.adb.org/projects/51159-002/main
5-Dec-2019,51159-002,Irrigated Agriculture Improvement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Grant,0681,ADB funds,ADF,2.160,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/51159-002/main
5-Dec-2019,51159-002,Irrigated Agriculture Improvement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Grant,0682,Cofinancing (Syndicated/Contractual),High Level Technology Fund,1.600,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/51159-002/main
30-Oct-2019,50101-002,Third Rural Water Supply and Sanitation Services Sector Development Program,CAM,Cambodia,Southeast Asia,SERD,SEUW,Sovereign,52.870,SDP - Sector loan,Loan,3833,ADB funds,Concessional OCR,29.610,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,5.200,,Investment,USD,https://www.adb.org/projects/50101-002/main
30-Oct-2019,50101-002,Third Rural Water Supply and Sanitation Services Sector Development Program,CAM,Cambodia,Southeast Asia,SERD,SEUW,Sovereign,,SDP - Sector loan,Loan,3832,ADB funds,Concessional OCR,15.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/50101-002/main
30-Oct-2019,50101-002,Third Rural Water Supply and Sanitation Services Sector Development Program,CAM,Cambodia,Southeast Asia,SERD,SEUW,Sovereign,,SDP - Sector loan,Grant,0670,ADB funds,ADF,4.390,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/50101-002/main
30-Oct-2019,50101-002,Third Rural Water Supply and Sanitation Services Sector Development Program,CAM,Cambodia,Southeast Asia,SERD,SEUW,Sovereign,,SDP - Sector loan,Grant,0671,Cofinancing (Syndicated/Contractual),High Level Technology Fund,1.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,1.000,,Investment,USD,https://www.adb.org/projects/50101-002/main
1-Nov-2019,50168-003,Fiscal and Public Expenditure Management Program (Subprogram 3),INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,"1,053.700",Program loan,Loan,3842,ADB funds,OCR,500.000,Public sector management,Public sector management,Dual-use,Low,57.292,26.042,Investment,USD,https://www.adb.org/projects/50168-003/main
30-Sep-2019,52316-001,Emergency Assistance for Rehabilitation and Reconstruction,INO,Indonesia,Southeast Asia,SERD,IRM; SEER; SEHS; SETC; SEUW,Sovereign,360.000,Sector loan,Loan,3793,ADB funds,OCR,188.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,17.661,,Investment,USD,https://www.adb.org/projects/52316-001/main
30-Sep-2019,52316-001,Emergency Assistance for Rehabilitation and Reconstruction,INO,Indonesia,Southeast Asia,SERD,IRM; SEER; SEHS; SETC; SEUW,Sovereign,,Sector loan,Loan,3793,ADB funds,OCR,,"Agriculture, natural resources and rural development",Education,Adaptation,Medium,1.205,,Investment,USD,https://www.adb.org/projects/52316-001/main
30-Sep-2019,52316-001,Emergency Assistance for Rehabilitation and Reconstruction,INO,Indonesia,Southeast Asia,SERD,IRM; SEER; SEHS; SETC; SEUW,Sovereign,,Sector loan,Loan,3793,ADB funds,OCR,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Adaptation,Medium,3.864,,Investment,USD,https://www.adb.org/projects/52316-001/main
30-Sep-2019,52316-001,Emergency Assistance for Rehabilitation and Reconstruction,INO,Indonesia,Southeast Asia,SERD,IRM; SEER; SEHS; SETC; SEUW,Sovereign,,Sector loan,Loan,3792,ADB funds,OCR,109.750,"Agriculture, natural resources and rural development",Transport,Adaptation,Medium,13.270,,Investment,USD,https://www.adb.org/projects/52316-001/main
18-Dec-2019,50297-001,Leveraging Private Infrastructure Investment Project,INO,Indonesia,Southeast Asia,SERD,IRM,Sovereign,100.000,Development financing institution,Loan,3840,ADB funds,OCR,100.000,Finance,Finance,Mitigation,Low,,30.553,Investment,USD,https://www.adb.org/projects/50297-001/main
30-Oct-2019,50236-002,Sustainable Rural Infrastructure and Watershed Management Sector Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,76.169,Sector loan,Loan,3817,ADB funds,Concessional OCR,40.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,11.900,4.100,Investment,USD,https://www.adb.org/projects/50236-002/main
30-Oct-2019,50236-002,Sustainable Rural Infrastructure and Watershed Management Sector Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,,Sector loan,Grant,0659,ADB funds,ADF,5.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,,Investment,USD,https://www.adb.org/projects/50236-002/main
30-Oct-2019,50236-002,Sustainable Rural Infrastructure and Watershed Management Sector Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,,Sector loan,Grant,0660,Cofinancing (Syndicated/Contractual),European Union,4.460,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,,Investment,USD,https://www.adb.org/projects/50236-002/main
30-Oct-2019,50399-003,Education for Employment Sector Development Program,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEHS,Sovereign,55.000,SDP - Program loan,Loan,3821,ADB funds,Concessional OCR,10.000,Education,Education,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/50399-003/main
30-Oct-2019,50399-003,Education for Employment Sector Development Program,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEHS,Sovereign,,SDP - Program loan,Loan,3822,ADB funds,Concessional OCR,40.000,Education,Education,Adaptation,Low,0.625,,Investment,USD,https://www.adb.org/projects/50399-003/main
6-Dec-2019,51242-002,Resilient Community Development Project,MYA,Myanmar,Southeast Asia,SERD,SEER,Sovereign,243.000,Project loan,Loan,3864,ADB funds,Concessional OCR,185.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,53.640,,Investment,USD,https://www.adb.org/projects/51242-002/main
6-Dec-2019,51242-002,Resilient Community Development Project,MYA,Myanmar,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Grant,0678,ADB funds,ADF,10.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,5.900,,Investment,USD,https://www.adb.org/projects/51242-002/main
6-Dec-2019,51242-002,Resilient Community Development Project,MYA,Myanmar,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Grant,9203,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,,Investment,USD,https://www.adb.org/projects/51242-002/main
6-Dec-2019,50218-002,Rural Roads and Access Project,MYA,Myanmar,Southeast Asia,SERD,SETC,Sovereign,52.410,Project loan,Loan,3855,ADB funds,Concessional OCR,45.400,Transport,Transport,Adaptation,Medium,18.530,,Investment,USD,https://www.adb.org/projects/50218-002/main
6-Dec-2019,50218-002,Rural Roads and Access Project,MYA,Myanmar,Southeast Asia,SERD,SETC,Sovereign,,Project loan,Grant,0677,ADB funds,ADF,5.800,Transport,Transport,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/50218-002/main
11-Jul-2019,52083-002,Malolos-Clark Railway Project (PFR 1),PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,"4,689.000",MFF-Tranche (Loan),Loan,3796,ADB funds,OCR,"1,300.000",Transport,Transport,Dual-use,High,2.836,"1,297.164",Investment,USD,https://www.adb.org/projects/52083-002/main
13-Dec-2019,50288-004,Infrastructure Preparation and Innovation Facility (Additional Financing),PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,241.680,Project loan,Loan,3886,ADB funds,OCR,200.000,Transport,Transport,Dual-use,Low,,60.000,Investment,USD,https://www.adb.org/projects50288-004/main
13-Dec-2019,50288-004,Infrastructure Preparation and Innovation Facility (Additional Financing),PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,Project loan,Loan,3886,ADB funds,OCR,,Transport,"Agriculture, natural resources and rural development",Dual-use,Low,0.200,,Investment,USD,https://www.adb.org/projects50288-004/main
8-Apr-2019,52224-001,Total Eren Access M-KAT Solar Power Project,KAZ,Kazakhstan,Central and West Asia,PSOD,PSIF1,Nonsovereign,165.520,Local Currency Loan,Loan,7583/3770,ADB funds,OCR,29.749,Energy,Energy,Mitigation,Low,,29.749,Investment,USD,https://www.adb.org/projects/52224-001/main
20-Mar-2019,52127-001,Sermsang Khushig Khundii Solar Project,MON,Mongolia,East Asia,PSOD,PSIF2,Nonsovereign,18.700,LIBOR Based Loan,Loan,7585/3772,ADB funds,OCR,9.600,Energy,Energy,Mitigation,Medium,,9.600,Investment,USD,https://www.adb.org/projects/52127-001/main
20-Mar-2019,52127-001,Sermsang Khushig Khundii Solar Project,MON,Mongolia,East Asia,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,8353,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,9.100,Energy,Energy,Mitigation,Medium,,9.100,Investment,USD,https://www.adb.org/projects/52127-001/main
31-Jan-2019,53037-001,AC Energy Green Bond Project,Regional (INO; PHI; VIE),Regional (Indonesia; Philippines; Viet Nam),Southeast Asia,PSOD,PSIF2,Nonsovereign,500.000,Debt Security,Loan,7584/3771,ADB funds,OCR,20.000,Energy,Energy,Mitigation,Low,,20.000,Investment,USD,https://www.adb.org/projects/53037-001/main
22-Mar-2019,52126-001,Avaada Solar Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,"1,308.800",Direct Investment,Equity investment,7587,ADB funds,OCR,25.000,Energy,Energy,Mitigation,Low,,25.000,Investment,USD,https://www.adb.org/projects/52126-001/main
22-Mar-2019,52126-001,Avaada Solar Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Direct Investment,Equity investment,7587,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,25.000,Energy,Energy,Mitigation,Low,,25.000,Investment,USD,https://www.adb.org/projects/52126-001/main
17-May-2019,52229-001,Kandahar Solar Power Project,AFG,Afghanistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,18.890,LIBOR Based Loan,Loan,7593/3783,ADB funds,OCR,4.000,Energy,Energy,Mitigation,Low,,4.000,Investment,USD,https://www.adb.org/projects/52229-001/main
17-May-2019,52229-001,Kandahar Solar Power Project,AFG,Afghanistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,LIBOR Based Loan,Loan,8356,Cofinancing (Syndicated/Contractual),Canadian Climate Fund for the Private Sector in Asia II,3.850,Energy,Energy,Mitigation,Low,,3.850,Investment,USD,https://www.adb.org/projects/52229-001/main
28-Oct-2019,49086-001,Upper Trishuli-1 Hydropower Project,NEP,Nepal,South Asia,PSOD,PSIF1,Nonsovereign,644.400,LIBOR Based Loan,Loan,7590/3781,ADB funds,OCR,30.000,Energy,Energy,Mitigation,Low,,30.000,Investment,USD,https://www.adb.org/projects/49086-001/main
28-Oct-2019,49086-001,Upper Trishuli-1 Hydropower Project,NEP,Nepal,South Asia,PSOD,PSIF1,Nonsovereign,,LIBOR Based Loan,Loan,8355,Cofinancing (Syndicated/Contractual),Canadian Climate Fund for the Private Sector in Asia II,30.000,Energy,Energy,Mitigation,Low,,30.000,Investment,USD,https://www.adb.org/projects/49086-001/main
11-Nov-2019,53143-001,Industrial and Municipal Wastewater Treatment Plant,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,60.000,LIBOR Based Loan,Loan,3811,ADB funds,OCR,60.748,Finance,Finance,Dual-use,Low,15.187,15.187,Investment,USD,https://www.adb.org/projects/53143-001/main
11-Nov-2019,53143-001,Industrial and Municipal Wastewater Treatment Plant,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,,LIBOR Based Loan,Loan,3811,ADB funds,OCR,,Finance,Water and other urban infrastructure and services,Dual-use,Low,15.187,15.187,Investment,USD,https://www.adb.org/projects/53143-001/main
24-Sep-2019,53255-001,Energy Absolute Green Bond for Wind Power Project,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,324.670,Debt Security,Loan,3818,ADB funds,OCR,98.219,Energy,Energy,Mitigation,Low,,98.219,Investment,USD,https://www.adb.org/projects/53255-001/main
24-Dec-2019,53027-001,Integrated and Sustainable Livestock Value Chain Project,PRC,People's Republic of China,East Asia,PSOD,OPSD,Nonsovereign,118.500,Local Currency Loan,Loan,3884,ADB funds,OCR,40.248,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,0.850,0.780,Investment,USD,https://www.adb.org/projects/53027-001/main
19-Dec-2019,53314-001,Inclusive Beverage Production and Distribution Project,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,50.700,Local Currency Loan,Loan,3885,ADB funds,OCR,12.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Mitigation,Low,,3.081,Investment,USD,https://www.adb.org/projects/53027-001/main
19-Apr-2019,47274-004,Mainstreaming Climate Resilience and Environmental Protection for Secondary Green Cities Development [attached TA to Secondary Green Cities Development Project],VIE,Viet Nam,Southeast Asia,SERD,SEUW,Sovereign,12.823,PPTA,Technical assistance,9417,Cofinancing (Syndicated/Contractual),Global Environment Facility,6.257,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,6.257,,Technical assistance,USD,https://www.adb.org/projects/47274-003/main
19-Apr-2019,47274-004,Mainstreaming Climate Resilience and Environmental Protection for Secondary Green Cities Development [attached TA to Secondary Green Cities Development Project],VIE,Viet Nam,Southeast Asia,SERD,SEUW,Sovereign,,PPTA,Technical assistance,9417,Cofinancing (Syndicated/Contractual),Global Environment Facility-Special Climate Change Fund (SCCF),4.566,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,4.566,,Technical assistance,USD,https://www.adb.org/projects/47274-003/main
19-Apr-2019,47274-004,Mainstreaming Climate Resilience and Environmental Protection for Secondary Green Cities Development [attached TA to Secondary Green Cities Development Project],VIE,Viet Nam,Southeast Asia,SERD,SEUW,Sovereign,,PPTA,Technical assistance,9417,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,2.000,,Technical assistance,USD,https://www.adb.org/projects/47274-003/main
03-Mar-2019,50312-003,Railway Rolling Stock Operations Improvement Project (attached TA),BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,0.500,TRTA,Technical assistance,9504,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Asian Clean Energy Fund),0.500,Transport,Transport,Mitigation,Low,,0.500,Technical assistance,USD,https://www.adb.org/projects/50312-003/main
17-Jan-2019,42266-026,Kolkata Environmental Improvement Investment Program-Tranche 3 (attached TA: Strengthening the Capacity of Kolkata Municipal Corporation for Resilient Urban Services),IND,India,South Asia,SARD,SAUW,Sovereign,2.000,CDTA,Technical assistance,9561,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,2.000,,Technical assistance,USD,https://www.adb.org/projects/42266-026/main
04-Jan-2019,51418-001,Air Quality Improvement in the Greater Beijing-Tianjin-Hebei Region—Shandong Clean Heating and Cooling Project (attached TA),PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,0.750,TRTA,Technical assistance,9682,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.750,Energy,Energy,Mitigation,High,,0.750,Technical assistance,USD,https://www.adb.org/projects/51418-001/main
27-May-2019,45515-001,Strengthening Public-Private Partnerships in the Philippines,PHI,Philippines,Southeast Asia,SERD,PHCO,Sovereign,3.000,CDTA,Technical assistance,7796,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,3.000,Public sector management,Public sector management,Dual-use,Low,1.250,1.250,Technical assistance,USD,https://www.adb.org/projects/45515-001/main
18-Dec-2019,48488-001,Strengthening Climate and Disaster Resilience of Investments in the Pacific,REG (Pacific),Regional (Pacific),Pacific,PARD,PAEN; PATC,Sovereign,0.700,CDTA,Technical assistance,8961,ADB funds,TASF,0.700,Transport,Water and other urban infrastructure and services,Adaptation,Low,0.350,,Technical assistance,USD,https://www.adb.org/projects/48488-001/main
18-Dec-2019,48488-001,Strengthening Climate and Disaster Resilience of Investments in the Pacific,REG (Pacific),Regional (Pacific),Pacific,PARD,PAEN; PATC,Sovereign,,CDTA,Technical assistance,8961,ADB funds,TASF,,Transport,Transport,Adaptation,Low,0.175,,Technical assistance,USD,https://www.adb.org/projects/48488-001/main
18-Dec-2019,48488-001,Strengthening Climate and Disaster Resilience of Investments in the Pacific,REG (Pacific),Regional (Pacific),Pacific,PARD,PAEN; PATC,Sovereign,,CDTA,Technical assistance,8961,ADB funds,TASF,,Transport,Energy,Adaptation,Low,0.175,,Technical assistance,USD,https://www.adb.org/projects/48488-001/main
26-Mar-2019,49106-002,Strengthening Climate Change Resilience in Urban India - Strengthening Smart Water Management and Urban Climate Change Resilience in Tamil Nadu (Subproject 1),IND,India,South Asia,SARD,SAUW,Sovereign,0.050,CDTA,Technical assistance,9129,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,0.050,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,0.033,0.017,Technical assistance,USD,https://www.adb.org/projects/49106-002/main
15-Feb-2019,50287-001,Promoting Low-Carbon Development in Central Asia Regional Economic Cooperation Program Cities,REG (AFG; AZE; PRC; KAZ; KGZ; MON; PAK; TAJ; TKM; UZB),Regional (Afghanistan; Azerbaijan; People's Republic of China; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; Tajikistan; Turkmenistan; Uzbekistan),Regional,EARD,EASI,Sovereign,0.700,CDTA,Technical assistance,9308,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),0.700,Energy,Energy,Dual-use,Low,,0.400,Technical assistance,USD,https://www.adb.org/projects/50287-001/main
15-Feb-2019,50287-001,Promoting Low-Carbon Development in Central Asia Regional Economic Cooperation Program Cities,REG (AFG; AZE; PRC; KAZ; KGZ; MON; PAK; TAJ; TKM; UZB),Regional (Afghanistan; Azerbaijan; People's Republic of China; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; Tajikistan; Turkmenistan; Uzbekistan),Regional,EARD,EASI,Sovereign,,CDTA,Technical assistance,9308,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),,Energy,Transport,Dual-use,Low,,0.100,Technical assistance,USD,https://www.adb.org/projects/50287-001/main
