Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
17-Jan-2019,50275-002,Science and Technology Human Resource Development Project,SRI,Sri Lanka,South Asia,SARD,SAHS,Sovereign,,Project loan,Loan,3699,ADB funds,Concessional OCR,61.980,Education,Education,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/50275-002/main
17-Jan-2019,50299-001,South Asia Subregional Economic Cooperation Port Access Elevated Highway Project,SRI,Sri Lanka,South Asia,SARD,SATC,Sovereign,704.678,Project loan,Loan,3716,ADB funds,OCR,300.000,Transport,Transport,Adaptation,Medium,7.650,,Investment,USD,https://www.adb.org/projects/50299-001/main
5-Mar-2019,50098-002,Northern Mountain Provinces Transport Connectivity Project,VIE,Viet Nam,Southeast Asia,SERD,SETC,Sovereign,245.071,Project loan,Loan,3762,ADB funds,Concessional OCR,188.360,Transport,Transport,Adaptation,High,10.200,,Investment,USD,https://www.adb.org/projects/50098-002/main
3-Jun-2019,49387-003,Second Greater Mekong Subregion Tourism Infrastructure for Inclusive Growth Project,VIE,Viet Nam,Southeast Asia,SERD,VRM,Sovereign,56.670,Project loan,Loan,3757,ADB funds,Concessional OCR,45.000,Transport,Transport,Dual-use,Low,2.640,,Investment,USD,https://www.adb.org/projects/49387-003/main
3-Jun-2019,49387-003,Second Greater Mekong Subregion Tourism Infrastructure for Inclusive Growth Project,VIE,Viet Nam,Southeast Asia,SERD,VRM,Sovereign,,Project loan,Loan,3757,ADB funds,Concessional OCR,,Transport,Water and other urban infrastructure and services,Dual-use,Low,2.160,0.500,Investment,USD,https://www.adb.org/projects/49387-003/main
27-Feb-2019,51250-001,Baikonyr Solar Power Project,KAZ,Kazakhstan,Central and West Asia,PSOD,PSIF1,Nonsovereign,72.000,Project Loan,Loan,7556/3658,ADB funds,OCR,11.500,Energy,Energy,Mitigation,Low,,11.500,Investment,USD,https://www.adb.org/projects/51250-001/main
30-May-2019,51274-001,Bangkok Mass Rapid Transit Project (Pink and Yellow Lines),THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,"2,960.000",Project Loan,Loan,7558/3669,ADB funds,OCR,310.916,Transport,Transport,Mitigation,Medium,,310.916,Investment,USD,https://www.adb.org/projects/51274-001/main
26-Sep-2019,51327-001,Floating Solar Energy Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,62.000,Project Loan,Loan,7571/3723,ADB funds,OCR,17.600,Energy,Energy,Mitigation,Low,,17.600,Investment,USD,https://www.adb.org/projects/51327-001/main
24-Sep-2019,51327-001,Floating Solar Energy Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Project Loan,Loan,8351,Cofinancing (Syndicated/Contractual),Leading Asia's Private Infrastructure Fund,4.400,Energy,Energy,Mitigation,Low,,4.400,Investment,USD,https://www.adb.org/projects/51327-001/main
24-Sep-2019,51327-001,Floating Solar Energy Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Project Loan,Loan,8349,Cofinancing (Syndicated/Contractual),Canadian Climate Fund for the Private Sector in Asia II,4.000,Energy,Energy,Mitigation,Low,,4.000,Investment,USD,https://www.adb.org/projects/51327-001/main
