Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
26-May-20,52023-001,Henan Dengzhou Integrated River Restoration and Ecological Protection Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,423.120416,Project loan,Loan,3865,ADB funds,OCR,198.49503199,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Medium,2.5,19.58,Investment,USD,https://www.adb.org/projects/52023-001/main,,,,,,,,,,,,,,
26-May-20,52007-001,Air Quality Improvement in the Greater Beijing-Tianjin-Hebei Region--Henan Cleaner Fuel Switch Investment Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,620.7,Results Based Lending,Loan,3879,ADB funds,OCR,294.55500296,Energy,Energy,,Mitigation,Medium,,54.8,Investment,USD,https://www.adb.org/projects/52007-001/main,,,,,,,,,,,,,,
17-Jun-20,52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,211.025,Project loan,Loan,3888,ADB funds,OCR,101.4053117,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Medium,8.84,6.67,Investment,USD,https://www.adb.org/projects/52026-001/main,,,,,,,,,,,,,,
17-Jun-20,52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,3888,ADB funds,OCR,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Dual-use,Medium,6.48,8.5,Investment,USD,https://www.adb.org/projects/52026-001/main,,,,,,,,,,,,,,
06-Nov-20,49453-002,South Tarawa Water Supply Project,KIR,Kiribati,Pacific,PARD,PAUW,Sovereign,61.83,Project grant,Grant,0652,ADB funds,ADF,13,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,High,1.16,1.61,Investment,USD,https://www.adb.org/projects/49453-002/main,,,,,,,,,,,,,,
06-Nov-20,49453-002,South Tarawa Water Supply Project,KIR,Kiribati,Pacific,PARD,PAUW,Sovereign,,Project grant,Grant,0653,Cofinancing (Syndicated/Contractual),Green Climate Fund,28.63,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,High,26.84,1.79,Investment,USD,https://www.adb.org/projects/49453-002/main,,,,,,,,,,,,,,
15-Mar-20,40540-018,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2-Tranche 2",BAN,Bangladesh,South Asia,SARD,SATC,Sovereign,497.97,MFF-Tranche (Loan),Loan,3883,ADB funds,OCR,406.11610861,Transport,Transport,,Adaptation,Medium,26.1,,Investment,USD,https://www.adb.org/projects/40540-018/main,,,,,,,,,,,,,,
08-Jun-20,52362-001,Spectra Solar Power Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,55,LIBOR Based Loan,Loan,3801,ADB funds,OCR,13.28,Energy,Energy,,Mitigation,Low,,13.28,Investment,USD,https://www.adb.org/projects/52362-001/main,,,,,,,,,,,,,,
09-Jun-20,52362-001,Spectra Solar Power Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,,LIBOR Based Loan,Loan,8370,Cofinancing (Syndicated/Contractual),Canadian Climate Fund for the Private Sector in Asia II,4.44,Energy,Energy,,Mitigation,Low,,4.44,Investment,USD,https://www.adb.org/projects/52362-001/main,,,,,,,,,,,,,,
22-Jan-20,53106-001,Gulf Solar Power Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,51.5,LIBOR Based Loan,Loan,3852,ADB funds,OCR,11.3,Energy,Energy,,Mitigation,Low,,11.3,Investment,USD,https://www.adb.org/projects/53106-001/main,,,,,,,,,,,,,,
28-Jan-20,53106-001,Gulf Solar Power Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,LIBOR Based Loan,Loan,CF90,B-loan,B-loan,18.9,Energy,Energy,,Mitigation,Low,,18.9,Investment,USD,https://www.adb.org/projects/53106-001/main,,,,,,,,,,,,,,
