Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
21-Dec-20,49450-021,South Tarawa Renewable Energy Project,KIR,Kiribati,Pacific,PARD,PAEN,Sovereign,14.7,Project grant,Grant,0762,ADB funds,ADF,8,Energy,Energy,,Dual-use,Medium,0.22,5.61,Investment,USD,https://www.adb.org/projects/49450-021/main,,,,,,,,,,,,,,
21-Dec-20,49450-021,South Tarawa Renewable Energy Project,KIR,Kiribati,Pacific,PARD,PAEN,Sovereign,,Project grant,Grant,0764,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Scaling Up Renewable Energy Program),3.7,Energy,Energy,,Dual-use,Medium,0.14,3.56,Investment,USD,https://www.adb.org/projects/49450-021/main,,,,,,,,,,,,,,
21-Dec-20,49450-021,South Tarawa Renewable Energy Project,KIR,Kiribati,Pacific,PARD,PAEN,Sovereign,,Project grant,Grant,0763,Cofinancing (Syndicated/Contractual),New Zealand,2,Energy,Energy,,Dual-use,Medium,0.04,0.96,Investment,USD,https://www.adb.org/projects/49450-021/main,,,,,,,,,,,,,,
11-Dec-20,53082-001,Ebeye Solid Waste Management,RMI,Marshall Islands,Pacific,PARD,PAUW,Sovereign,7.067,Project grant,Grant,0780,ADB funds,ADF,6.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,High,1.2925,,Investment,USD,https://www.adb.org/projects/53082-001/main,,,,,,,,,,,,,,
04-Dec-20,53284-002,Chuuk Water Supply and Sanitation Project,FSM,Federated States of Micronesia,Pacific,PARD,PAUW,Sovereign,13.638,Project grant,Grant,0767,ADB funds,ADF,12.76,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,Medium,4.8,,Investment,USD,https://www.adb.org/projects/53284-002/main,,,,,,,,,,,,,,
01-Dec-20,54011-001,Disaster Resilient Clean Energy Financing,PAL,Palau,Pacific,PARD,PAEN,Sovereign,,Project grant,Grant,9212,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3,Energy,Energy,,Mitigation,High,,3,Investment,USD,https://www.adb.org/projects/54011-001/main,,,,,,,,,,,,,,
08-Dec-20,51268-001,Central Cross Island Road Upgrading Project,SAM,Samoa,Pacific,PARD,PATC,Sovereign,55,Project grant,Grant,0771,ADB funds,ADF,40,Transport,Transport,,Adaptation,Medium,0.371715,,Investment,USD,https://www.adb.org/projects/51268-001/main,,,,,,,,,,,,,,
08-Dec-20,52031-001,Greater Port Vila Urban Resilience Project,VAN,Vanuatu,Pacific,PARD,PAUW,Sovereign,11.77,Project grant,Grant,0779,ADB funds,ADF,9.64,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Public sector management,Adaptation,Medium,4.82,,Investment,USD,https://www.adb.org/projects/52031-001/main,,,,,,,,,,,,,,
15-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Palau,Pacific,PARD,PASP,Sovereign,94,Contingent Disaster Financing,Loan,4011,ADB funds,OCR,20,Public sector management,Public sector management,,Adaptation,Low,5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
11-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Federated States of Micronesia,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0756,ADB funds,ADF,6,Public sector management,Public sector management,,Adaptation,Low,1.5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
11-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Marshall Islands,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0761,ADB funds,ADF,6,Public sector management,Public sector management,,Adaptation,Low,1.5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
11-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Solomon Islands,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0754,ADB funds,ADF,5,Public sector management,Public sector management,,Adaptation,Low,1.5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
08-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Samoa,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0759,ADB funds,ADF,10,Public sector management,Public sector management,,Adaptation,Low,3,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
14-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Tonga,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0755,ADB funds,ADF,10,Public sector management,Public sector management,,Adaptation,Low,3,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
16-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Kiribati,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0758,ADB funds,ADF,8,Public sector management,Public sector management,,Adaptation,Low,2,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
10-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Tuvalu,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0760,ADB funds,ADF,4,Public sector management,Public sector management,,Adaptation,Low,1.5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
08-Dec-20,50028-003,"Pacific Disaster Resilience Program, Phase 3",REG; PAL; COO; FSM; RMI; SOL; SAM; TON; KIR; TUV; VAN,Vanuatu,Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0757,ADB funds,ADF,5,Public sector management,Public sector management,,Adaptation,Low,5,,Investment,USD,https://www.adb.org/projects/50028-003/main,,,,,,,,,,,,,,
29-Dec-20,49423-006,Bangladesh Power System Enhancement and Efficiency Improvement Project -Additional Financing,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,313.5,Project loan,Loan,4040,ADB funds,OCR,70,Energy,Energy,,Mitigation,High,,2.7,Investment,USD,https://www.adb.org/projects/49423-006/main,,,,,,,,,,,,,,
29-Dec-20,49423-006,Bangladesh Power System Enhancement and Efficiency Improvement Project -Additional Financing,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,,Project loan,Loan,4039,ADB funds,Concessional OCR,130,Energy,Energy,,Mitigation,High,,5.1,Investment,USD,https://www.adb.org/projects/49423-006/main,,,,,,,,,,,,,,
30-Jun-20,47243-005,Rural Connectivity Improvement Project-Additional Financing,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,163.93,Project loan,Loan,3932,ADB funds,Concessional OCR,100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Medium,9.9,,Investment,USD,https://www.adb.org/projects/47243-005/main,,,,,,,,,,,,,,
04-Nov-20,49329-007,Khulna Sewerage System Development Project,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,275,Project loan,Loan,3978,ADB funds,OCR,50,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Medium,8.4,2.1,Investment,USD,https://www.adb.org/projects/49329-007/main,,,,,,,,,,,,,,
04-Nov-20,49329-007,Khulna Sewerage System Development Project,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Project loan,Loan,3979,ADB funds,Concessional OCR,110,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Medium,7,9.4,Investment,USD,https://www.adb.org/projects/49329-007/main,,,,,,,,,,,,,,
14-Dec-20,50165-003,Phuentsholing Township Development Project - Additional Financing,BHU,Bhutan,South Asia,SARD,SAER,Sovereign,30,Project loan,Loan,4019,ADB funds,Concessional OCR,18.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,High,,,Investment,USD,https://www.adb.org/projects/50165-003/main,,,,,,,,,,,,,,
14-Dec-20,50165-003,Phuentsholing Township Development Project - Additional Financing,BHU,Bhutan,South Asia,SARD,SAER,Sovereign,,Project loan,Grant,0765,ADB funds,ADF,10,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,High,0.05,,Investment,USD,https://www.adb.org/projects/50165-003/main,,,,,,,,,,,,,,
06-Nov-20,53365-001,Alternative Renewable Energy Pilot Project,BHU,Bhutan,South Asia,SARD,SAEN,Sovereign,,Project grant,Grant,9211,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3,Energy,Energy,"Agriculture, natural resources and rural development",Mitigation,Low,,2.97,Investment,USD,https://www.adb.org/projects/53365-001/main,,,,,,,,,,,,,,
06-Nov-20,53365-001,Alternative Renewable Energy Pilot Project,BHU,Bhutan,South Asia,SARD,SAEN,Sovereign,,Project grant,Grant,9211,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,,Energy,"Agriculture, natural resources and rural development",Energy,Mitigation,Low,,0.03,Investment,USD,https://www.adb.org/projects/53365-001/main,,,,,,,,,,,,,,
30-Dec-20,47101-004,Assam Power Sector Investment Program - Tranche 3,IND,India,South Asia,SARD,SAEN,Sovereign,297,MFF-Tranche (Loan),Loan,4029,ADB funds,OCR,231,Energy,Energy,,Dual-use,High,1.7,229.3,Investment,USD,https://www.adb.org/projects/47101-004/main,,,,,,,,,,,,,,
30-Dec-20,47101-004,Assam Power Sector Investment Program - Tranche 3,IND,India,South Asia,SARD,SAEN,Sovereign,,MFF-Tranche (Loan),Grant,9217,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,Energy,Energy,,Dual-use,High,,,Investment,USD,https://www.adb.org/projects/47101-004/main,,,,,,,,,,,,,,
19-Oct-20,50193-003,Maharashtra Rural High Voltage Distribution System Expansion Program,IND,India,South Asia,SARD,SAEN,Sovereign,704.1,Results Based Lending,Loan,3917,ADB funds,OCR,346,Energy,Energy,,Dual-use,Medium,2.4,87,Investment,USD,https://www.adb.org/projects/50193-003/main,,,,,,,,,,,,,,
18-Dec-20,51395-003,Uttar Pradesh Power Distribution Network Rehabilitation Project – Tranche 1,IND,India,South Asia,SARD,SAEN,Sovereign,626,MFF-Tranche (Loan),Loan,4025,ADB funds,OCR,300,Energy,Energy,,Dual-use,Medium,3.23,141.4,Investment,USD,https://www.adb.org/projects/51395-003/main,,,,,,,,,,,,,,
31-Dec-20,53192-001,Bengaluru Smart Energy Efficient Power Distribution Project,IND,India,South Asia,SARD,SAEN,Sovereign,187.3,Project loan,Loan,4028,ADB funds,OCR,100,Energy,Energy,,Dual-use,Low,3.8,22.5,Investment,USD,https://www.adb.org/projects/53192-001/main,,,,,,,,,,,,,,
01-Dec-20,51308-004,Meghalaya Power Distribution Sector Improvement Project,IND,India,South Asia,SARD,SAEN,Sovereign,168,Project loan,Loan,3996,ADB funds,OCR,132.8,Energy,Energy,,Dual-use,Medium,27.8,90.6,Investment,USD,https://www.adb.org/projects/51308-004/main,,,,,,,,,,,,,,
01-Dec-20,51308-004,Meghalaya Power Distribution Sector Improvement Project,IND,India,South Asia,SARD,SAEN,Sovereign,,Project loan,Grant,9213,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,Energy,Energy,,Dual-use,Medium,,2,Investment,USD,https://www.adb.org/projects/51308-004/main,,,,,,,,,,,,,,
28-May-20,52298-001,Maharashtra State Road Improvement Project,IND,India,South Asia,SARD,SATC,Sovereign,255.99,Project loan,Loan,3911,ADB funds,OCR,177,Transport,Transport,,Adaptation,Medium,12.76,,Investment,USD,https://www.adb.org/projects/52298-001/main,,,,,,,,,,,,,,
08-Sep-20,51073-003,Delhi-Meerut Regional Rapid Transit System Investment Project - Tranche 1,IND,India,South Asia,SARD,SATC,Sovereign,1802.6,MFF-Tranche (Loan),Loan,3964,ADB funds,OCR,500,Transport,Transport,,Dual-use,Medium,1.46,498.54,Investment,USD,https://www.adb.org/projects/51073-003/main,,,,,,,,,,,,,,
08-Sep-20,51073-003,Delhi-Meerut Regional Rapid Transit System Investment Project - Tranche 1,IND,India,South Asia,SARD,SATC,Sovereign,,MFF-Tranche (Loan),Grant,9210,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3,Transport,Transport,,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51073-003/main,,,,,,,,,,,,,,
12-Oct-20,42267-031,Rajasthan Secondary Towns Development Sector Project,IND,India,South Asia,SARD,SAUW,Sovereign,428.5,Sector loan,Loan,3972,ADB funds,OCR,300,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,High,34.1,7.5,Investment,USD,https://www.adb.org/projects/42267-031/main,,,,,,,,,,,,,,
12-Oct-20,42486-018,Madhya Pradesh Urban Services Improvement Project - Additional Financing,IND,India,South Asia,SARD,SAUW,Sovereign,385.7,Sector loan,Loan,3974,ADB funds,OCR,270,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,High,23.6,10.1,Investment,USD,https://www.adb.org/projects/42486-018/main,,,,,,,,,,,,,,
16-Nov-20,46122-005,Preparing Outer Islands for Sustainable Energy Development Project - Additional Financing,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,11,Project loan,Loan,3995,ADB funds,Concessional OCR,7.80244028,Energy,Energy,,Dual-use,Low,,7.74,Investment,USD,https://www.adb.org/projects/46122-005/main,,,,,,,,,,,,,,
16-Nov-20,46122-005,Preparing Outer Islands for Sustainable Energy Development Project - Additional Financing,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Project loan,Grant,0748,ADB funds,ADF,2.73,Energy,Energy,,Dual-use,Low,2.65,0.08,Investment,USD,https://www.adb.org/projects/46122-005/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,151.63,Project loan,Loan,3954,ADB funds,Concessional OCR,38.21,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Energy,Dual-use,High,3.555,30.25,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,Project loan,Loan,3954,ADB funds,Concessional OCR,,Water and other urban infrastructure and services,Energy,Water and other urban infrastructure and services,Dual-use,High,,3.6,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,Project loan,Grant,0732,ADB funds,ADF,35.18,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Energy,Dual-use,High,3.555,21.64,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,Project loan,Grant,0732,ADB funds,ADF,,Water and other urban infrastructure and services,Energy,Water and other urban infrastructure and services,Dual-use,High,,4.4,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,Project loan,Loan,8384,Cofinancing (Syndicated/Contractual),Asian Infrastructure Investment Bank,40,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Energy,Dual-use,High,,40,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
28-Sep-20,51077-003,Greater Male Waste-to-Energy Project,MLD,Maldives,South Asia,SARD,SAUW,Sovereign,,Project loan,Grant,0733,Cofinancing (Syndicated/Contractual),Japan Fund for the Joint Crediting Mechanism,10,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Energy,Dual-use,High,,9.5,Investment,USD,https://www.adb.org/projects/51077-003/main,,,,,,,,,,,,,,
27-Aug-20,50059-003,South Asia Subregional Economic Cooperation Power Transmission and Distribution System Strengthening Project,NEP,Nepal,South Asia,SARD,SAEN,Sovereign,327,Project loan,Loan,3943,ADB funds,Concessional OCR,200,Energy,Energy,,Dual-use,Low,1,118.9,Investment,USD,https://www.adb.org/projects/50059-003/main,,,,,,,,,,,,,,
27-Aug-20,50059-003,South Asia Subregional Economic Cooperation Power Transmission and Distribution System Strengthening Project,NEP,Nepal,South Asia,SARD,SAEN,Sovereign,,Project loan,Grant,0711,Cofinancing (Syndicated/Contractual),Norway,35,Energy,Energy,,Dual-use,Low,,18.2,Investment,USD,https://www.adb.org/projects/50059-003/main,,,,,,,,,,,,,,
30-Dec-20,54107-001,Electricity Grid Modernization Project,NEP,Nepal,South Asia,SARD,SAEN,Sovereign,195,Project loan,Loan,4014,ADB funds,Concessional OCR,156,Energy,Energy,,Dual-use,Medium,1.8,88.9,Investment,USD,https://www.adb.org/projects/54107-001/main,,,,,,,,,,,,,,
22-Dec-20,52195-001,Priority River Basins Flood Risk Management Project,NEP,Nepal,South Asia,SARD,SAER,Sovereign,64.25,Project loan,Loan,3977,ADB funds,Concessional OCR,40,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,4.9,,Investment,USD,https://www.adb.org/projects/52195-001/main,,,,,,,,,,,,,,
22-Dec-20,52195-001,Priority River Basins Flood Risk Management Project,NEP,Nepal,South Asia,SARD,SAER,Sovereign,,Project loan,Grant,0741,ADB funds,ADF,10,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,2.1,,Investment,USD,https://www.adb.org/projects/52195-001/main,,,,,,,,,,,,,,
22-Dec-20,38349-031,South Asia Subregional Economic Cooperation Airport Capacity Enhancement Project,NEP,Nepal,South Asia,SARD,SATC,Sovereign,198,Project loan,Loan,4005,ADB funds,Concessional OCR,150,Transport,Transport,,Dual-use,Medium,0.26,0.94,Investment,USD,https://www.adb.org/projects/38349-031/main,,,,,,,,,,,,,,
25-Nov-20,49273-004,Small and Medium-Sized Enterpises Line of Credit Project - Third Additional Financing,SRI,Sri Lanka,South Asia,SARD,SAPF,Sovereign,168,Credit line (loan),Loan,4007,ADB funds,OCR,165,Finance,Finance,,Adaptation,Low,5,,Investment,USD,https://www.adb.org/projects/49273-004/main,,,,,,,,,,,,,,
25-Nov-20,49273-004,Small and Medium-Sized Enterpises Line of Credit Project - Third Additional Financing,SRI,Sri Lanka,South Asia,SARD,SAPF,Sovereign,,Credit line (loan),Grant,9214,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,1.25,Finance,Finance,,Adaptation,Low,1.25,,Investment,USD,https://www.adb.org/projects/49273-004/main,,,,,,,,,,,,,,
12-Oct-20,53324-001,Grid Reinforcement Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,193.65,Project loan,Loan,3967,ADB funds,Concessional OCR,127.8,Energy,Energy,,Mitigation,High,,6.04,Investment,USD,https://www.adb.org/projects/53324-001/main,,,,,,,,,,,,,,
12-Oct-20,53324-001,Grid Reinforcement Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,,Project loan,Grant,0736,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Scaling Up Renewable Energy Program),4.7,Energy,Energy,,Mitigation,High,,4.7,Investment,USD,https://www.adb.org/projects/53324-001/main,,,,,,,,,,,,,,
12-Oct-20,53324-001,Grid Reinforcement Project,CAM,Cambodia,Southeast Asia,SERD,SEEN,Sovereign,,Project loan,Grant,0737,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),2,Energy,Energy,,Mitigation,High,,2,Investment,USD,https://www.adb.org/projects/53324-001/main,,,,,,,,,,,,,,
07-Dec-20,50264-002,Agricultural Value Chain Competitiveness and Safety Enhancement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,110.06,Project loan,Loan,4013,ADB funds,Concessional OCR,70,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Finance; Transport,Dual-use,Medium,1.5,8.93,Investment,USD,https://www.adb.org/projects/50264-002/main,,,,,,,,,,,,,,
07-Dec-20,50264-002,Agricultural Value Chain Competitiveness and Safety Enhancement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Loan,8389,Cofinancing (Syndicated/Contractual),ASEAN Infrastructure Fund,5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Finance; Transport,Dual-use,Medium,0.42,,Investment,USD,https://www.adb.org/projects/50264-002/main,,,,,,,,,,,,,,
07-Dec-20,50264-002,Agricultural Value Chain Competitiveness and Safety Enhancement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Loan,8387,Cofinancing (Syndicated/Contractual),Agence Française de Développement,25,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Finance; Transport,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/50264-002/main,,,,,,,,,,,,,,
07-Dec-20,50264-002,Agricultural Value Chain Competitiveness and Safety Enhancement Project,CAM,Cambodia,Southeast Asia,SERD,SEER,Sovereign,,Project loan,Grant,9216,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Finance; Transport,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/50264-002/main,,,,,,,,,,,,,,
28-Oct-20,52145-001,"Second Decentralized Public Service and Financial Management Sector Development Program, Subprogram 1",CAM,Cambodia,Southeast Asia,SERD,SEPF,Sovereign,31.05,SDP - Program loan,Loan,3970,ADB funds,Concessional OCR,9.35,Public sector management,Public sector management,,Dual-use,Low,0.24,0.12,Investment,USD,https://www.adb.org/projects/52145-001/main,,,,,,,,,,,,,,
28-Oct-20,52145-001,"Second Decentralized Public Service and Financial Management Sector Development Program, Subprogram 1",CAM,Cambodia,Southeast Asia,SERD,SEPF,Sovereign,,SDP - Program loan,Loan,3969,ADB funds,Concessional OCR,20,Public sector management,Public sector management,,Dual-use,Low,0.17,0.17,Investment,USD,https://www.adb.org/projects/52145-001/main,,,,,,,,,,,,,,
08-Dec-20,51114-001,Sustainable Energy Access in Eastern Indonesia — Electricity Grid Development Program (Phase 2),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,2275,Results Based Lending,Loan,4009,ADB funds,OCR,600,Energy,Energy,,Mitigation,Low,,50,Investment,USD,https://www.adb.org/projects/51114-001/main,,,,,,,,,,,,,,
08-Dec-20,51114-001,Sustainable Energy Access in Eastern Indonesia — Electricity Grid Development Program (Phase 2),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,,Results Based Lending,Grant,0753,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Asian Clean Energy Fund),3,Energy,Energy,,Mitigation,Low,,3,Investment,USD,https://www.adb.org/projects/51114-001/main,,,,,,,,,,,,,,
08-Dec-20,51114-001,Sustainable Energy Access in Eastern Indonesia — Electricity Grid Development Program (Phase 2),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,,Results Based Lending,Grant,9215,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3,Energy,Energy,,Mitigation,Low,,,Investment,USD,https://www.adb.org/projects/51114-001/main,,,,,,,,,,,,,,
19-Aug-20,52282-001,Geothermal Power Generation Project,INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,469.2,Project loan,Loan,3928,ADB funds,OCR,300,Energy,Energy,,Dual-use,Medium,9.99,290.01,Investment,USD,https://www.adb.org/projects/52282-001/main,,,,,,,,,,,,,,
19-Aug-20,52282-001,Geothermal Power Generation Project,INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,,Project loan,Loan,8380,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),35,Energy,Energy,,Dual-use,Medium,,35,Investment,USD,https://www.adb.org/projects/52282-001/main,,,,,,,,,,,,,,
22-Dec-20,52218-001,Promoting Innovative Financial Inclusion Program (Subprogram 1),INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,727.125,Programmatic Approach Policy-Based Lending (Loan),Loan,4038,ADB funds,OCR,500,Finance,Finance,,Adaptation,Low,36.25,,Investment,USD,https://www.adb.org/projects/52218-001/main,,,,,,,,,,,,,,
30-Sep-20,54117-001,Disaster Resilience Improvement Program,INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,500,Stand-alone policy-based lending (loan),Loan,3971,ADB funds,OCR,500,Public sector management,Public sector management,Finance; Health,Adaptation,Low,22.785,,Investment,USD,https://www.adb.org/projects/54117-001/main,,,,,,,,,,,,,,
30-Sep-20,54117-001,Disaster Resilience Improvement Program,INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,,Stand-alone policy-based lending (loan),Loan,3971,ADB funds,OCR,,Public sector management,Finance,Health; Public sector management,Adaptation,Low,22.785,,Investment,USD,https://www.adb.org/projects/54117-001/main,,,,,,,,,,,,,,
03-Nov-20,52176-001,Yangon City Water Resilience Project,MYA,Myanmar,Southeast Asia,SERD,SEUW,Sovereign,196,Project loan,Loan,3984,ADB funds,Concessional OCR,180,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Low,0.5,4,Investment,USD,https://www.adb.org/projects/52176-001/main,,,,,,,,,,,,,,
16-Dec-20,53223-001,Accelerated Rural Electrification Project,MYA,Myanmar,Southeast Asia,SERD,SEEN,Sovereign,192.73,Project loan,Loan,4026,ADB funds,Concessional OCR,171.27,Energy,Energy,,Dual-use,Medium,8.56,78,Investment,USD,https://www.adb.org/projects/53223-001/main,,,,,,,,,,,,,,
26-Nov-20,50381-006,Second Greater Mekong Subregion Highway Modernization Project,MYA,Myanmar,Southeast Asia,SERD,SETC,Sovereign,781.14,Project loan,Loan,3994,ADB funds,Concessional OCR,483.8,Transport,Transport,,Adaptation,Medium,10.7,,Investment,USD,https://www.adb.org/projects/50381-006/main,,,,,,,,,,,,,,
13-Oct-20,46362-004,Angat Water Transmission Improvement Project (Additional Financing),PHI,Philippines,Southeast Asia,SERD,SEUW,Sovereign,155.82,Project loan,Loan,3935,ADB funds,OCR,126.02,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Adaptation,Low,4,,Investment,USD,https://www.adb.org/projects/46362-004/main,,,,,,,,,,,,,,
27-Aug-20,51309-002,Inclusive Finance Development Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEPF,Sovereign,300,Program loan,Loan,3959,ADB funds,OCR,300,Finance,Finance,,Dual-use,Low,36.09,20,Investment,USD,https://www.adb.org/projects/51309-002/main,,,,,,,,,,,,,,
15-Sep-20,54022-001,Disaster Resilience Improvement Program,PHI,Philippines,Southeast Asia,SERD,SEPF,Sovereign,500,Stand-alone policy-based lending (loan),Loan,3968,ADB funds,OCR,500,Finance,Finance,Health; Public sector management,Adaptation,Low,28.39,,Investment,USD,https://www.adb.org/projects/54022-001/main,,,,,,,,,,,,,,
